NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
20154,2154,New York Waterway,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,,,"427,717 ",,,,,,,,,,,,,,,,,,,,,,
20154,2154,New York Waterway,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,PT,Bus,,,"2,634 ",,,,,,,,,,,,,,,,,,,,,,
20155,2155,Cumberland County Office on Aging,Inactive,Full Reporter,90730,"Vineland, NJ",DR,DO,Bus,,,"784,466 ","825,621 ","621,043 ","631,920 ",,,,,,,,,,,,,,,,,,,
20158,2158,Tioga County,Inactive,Small Systems Reporter,07732,"Binghamton, NY",DR,PT,Bus,"249,855 ",,,,,"253,307 ","212,217 ","229,807 ","233,845 ","139,827 ","237,292 ",,,,,,,,,,,,,,
20158,2158,Tioga County,Inactive,Small Systems Reporter,07732,"Binghamton, NY",MB,PT,Bus,"328,107 ",,,,,"391,577 ","437,424 ","427,616 ","429,564 ","474,100 ","539,780 ",,,,,,,,,,,,,,
20159,2159,"Atlantic Paratrans of NYC, Inc.",Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",DR,DO,Bus,"2,197,068 ","7,025,347 ","7,050,450 ","8,615,547 ","7,674,044 ","6,881,027 ",,"8,905,079 ","2,914,361 ",,,,,,,,,,,,,,,,
20160,2160,"Community Transit Lines, Inc. ",Active,Small Systems Reporter,63217,"New York--Jersey City--Newark, NY--NJ",CB,DO,Bus,,,,,,,,,,,,"940,386 ","819,510 ",,,,,,,,,,,,
20160,2160,"Community Transit Lines, Inc. ",Inactive,Small Systems Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"952,165 ","941,150 ","809,744 ","916,219 ","819,352 ","1,221,539 ","912,351 ","971,633 ","912,123 ","907,932 ","897,788 ",,,,,,,,,,,,,,
20161,2161,DeCamp Bus Lines,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",CB,DO,Bus,,,,,,,,,,,,"1,763,335 ","1,795,446 ","1,790,142 ","1,793,033 ","1,816,584 ","1,891,000 ","1,880,832 ","449,076 ","177,133 ","576,077 ",,,,
20161,2161,DeCamp Bus Lines,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",MB,DO,Bus,"2,146,171 ","2,113,180 ","1,993,134 ","1,804,496 ","1,427,673 ","1,687,187 ","1,737,078 ","1,720,390 ","1,955,855 ","2,152,020 ","1,735,600 ",,,,,,,,,,,,,,
